Code,Label,Year,Land area (ha),Area of agricultural land (ha),Area of irrigated agricultural land (ha),Volume of water applied to irrigated agricultural land (ML),Application rate of water applied to irrigated agricultural land (ML/ha),Indigenous protected land areas (no.),National parks (no.),Nature reserves (no.),All other protected land areas (no.),Total protected land areas (no.),Indigenous protected land area (ha),National parks (ha),Nature reserves (ha),All other protected land areas (ha),Total protected land area (ha),Indigenous protected land area (%),National parks (%),Nature reserves (%),All other protected land areas (%),Total protected land area (%),Small-scale solar panel system installations (no.),Solar water heater installations (no.)
201,Ballarat,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201,Ballarat,2016,-,-,-,-,-,-,6,-,214,220,-,"26,549",-,"22,685","49,233",-,2.6,-,2.2,4.8,-,-
201,Ballarat,2017,-,"583,027","8,269","20,365",2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201,Ballarat,2018,-,"537,539","4,974","12,288",2.5,-,6,-,293,299,-,"26,549",-,"25,749","52,298",-,2.6,-,2.5,5.1,"1,794",488
201,Ballarat,2019,-,"793,135","8,203","26,720",3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,004",719
201,Ballarat,2020,-,"648,187","5,945","16,500",2.8,-,6,-,295,301,-,"26,549",-,"25,809","52,358",-,2.6,-,2.5,5.1,"2,405",634
201,Ballarat,2021,"1,028,747.6","537,539","4,974","12,288",2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,394",488
201,Ballarat,2022,-,-,-,-,-,-,6,-,305,311,-,"26,555",-,"26,279","52,834",-,2.6,-,2.6,5.1,"2,146",368
201,Ballarat,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,996",231
202,Bendigo,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
202,Bendigo,2016,-,-,-,-,-,-,5,-,254,259,-,"36,972",-,"28,412","65,384",-,3.1,-,2.4,5.5,-,-
202,Bendigo,2017,-,"783,428","66,088","161,155",2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
202,Bendigo,2018,-,"782,711","56,739","126,517",2.2,-,5,-,398,403,-,"37,392",-,"33,550","70,941",-,3.2,-,2.8,6.0,"1,889",674
202,Bendigo,2019,-,"604,135","33,720","89,355",2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,347",787
202,Bendigo,2020,-,"706,223","39,788","83,935",2.1,-,5,-,402,407,-,"37,392",-,"34,424","71,816",-,3.2,-,2.9,6.1,"2,876",836
202,Bendigo,2021,"1,184,190.6","782,711","56,739","126,517",2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,799",774
202,Bendigo,2022,-,-,-,-,-,-,6,-,410,416,-,"37,740",-,"35,172","72,912",-,3.2,-,3.0,6.2,"2,375",689
202,Bendigo,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,117",392
203,Geelong,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
203,Geelong,2016,-,-,-,-,-,-,4,-,58,62,-,"38,676",-,"7,393","46,069",-,8.7,-,1.7,10.4,-,-
203,Geelong,2017,-,"216,879","3,137","5,350",1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
203,Geelong,2018,-,"225,861","3,885","12,671",3.3,-,3,-,101,104,-,"38,395",-,"8,246","46,641",-,8.7,-,1.9,10.5,"2,618","1,980"
203,Geelong,2019,-,"244,201","3,211","11,929",3.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,510","2,356"
203,Geelong,2020,-,"300,532","2,648","11,643",4.4,-,3,-,104,107,-,"38,399",-,"8,257","46,656",-,8.7,-,1.9,10.5,"4,068","2,146"
203,Geelong,2021,"442,869.9","225,861","3,885","12,671",3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,317","2,086"
203,Geelong,2022,-,-,-,-,-,-,3,-,120,123,-,"38,403",-,"8,785","47,189",-,8.7,-,2.0,10.7,"3,835","2,048"
203,Geelong,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,815","1,292"
204,Hume,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
204,Hume,2016,-,-,-,-,-,-,27,-,432,459,-,"470,812",-,"94,154","564,966",-,13.8,-,2.8,16.6,-,-
204,Hume,2017,-,"1,200,098","23,970","54,363",2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
204,Hume,2018,-,"1,177,043","16,010","34,664",2.2,-,27,-,623,650,-,"470,812",-,"105,472","576,284",-,13.8,-,3.1,16.9,"2,563",657
204,Hume,2019,-,"1,250,128","16,540","36,706",2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,714",658
204,Hume,2020,-,"1,095,270","14,598","42,852",2.9,-,27,-,637,664,-,"470,743",-,"116,002","586,745",-,13.8,-,3.4,17.3,"3,674",573
204,Hume,2021,"3,400,647.7","1,177,043","16,010","34,664",2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,581",641
204,Hume,2022,-,-,-,-,-,-,27,-,656,683,-,"470,806",-,"117,587","588,392",-,13.8,-,3.5,17.3,"2,905",632
204,Hume,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,872",445
205,Latrobe - Gippsland,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
205,Latrobe - Gippsland,2016,-,-,-,-,-,-,42,-,379,421,-,"800,908",-,"195,976","996,884",-,19.3,-,4.7,24.0,-,-
205,Latrobe - Gippsland,2017,-,"976,066","45,837","140,548",3.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
205,Latrobe - Gippsland,2018,-,"1,003,481","55,813","170,582",3.1,-,40,-,652,692,-,"800,962",-,"208,529","1,009,491",-,19.3,-,5.0,24.3,"3,653","1,346"
205,Latrobe - Gippsland,2019,-,"982,590","51,885","160,768",3.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,848","1,396"
205,Latrobe - Gippsland,2020,-,"1,064,335","63,712","192,422",3.0,-,42,-,663,705,-,"801,056",-,"208,513","1,009,570",-,19.3,-,5.0,24.3,"4,536","1,416"
205,Latrobe - Gippsland,2021,"4,155,310.9","1,003,481","55,813","170,582",3.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,694","1,630"
205,Latrobe - Gippsland,2022,-,-,-,-,-,-,43,-,687,730,-,"804,174",-,"209,856","1,014,030",-,19.4,-,5.1,24.4,"4,178","1,551"
205,Latrobe - Gippsland,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,771",921
206,Melbourne - Inner,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
206,Melbourne - Inner,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
