sa2_code_2011,sa2_name,Meter count - 2010 (no.),Meter count - 2011 (no.),Meter count - 2012 (no.),Mean - 2010 (kWh),Mean - 2011 (kWh),Mean - 2012 (kWh),Lowest quintile - 2010 (kWh),Lowest quintile - 2011 (kWh),Lowest quintile - 2012 (kWh),Second quintile - 2010 (kWh),Second quintile - 2011 (kWh),Second quintile - 2012 (kWh),Third quintile - 2010 (kWh),Third quintile - 2011 (kWh),Third quintile - 2012 (kWh),Fourth quintile - 2010 (kWh),Fourth quintile - 2011 (kWh),Fourth quintile - 2012 (kWh),Highest quintile - 2010 (kWh),Highest quintile - 2011 (kWh),Highest quintile - 2012 (kWh),Median - 2010 (kWh),Median - 2011 (kWh),Median - 2012 (kWh),Predominant climate zone (d)
102011028,Avoca Beach - Copacabana,17,20,27,872,726,,251,219,,555,445,,816,597,,1018,805,,1520,1562,,850,585,,5
102011029,Box Head - MacMasters Beach,43,40,40,818,763,,195,144,,586,372,,746,626,,908,856,,1578,1817,,770,634,,5
102011030,Calga - Kulnura,17,22,25,1219,1176,,147,225,,244,464,,585,663,,1436,879,,3225,3255,,716,677,,5
102011031,Erina - Green Point,31,47,61,915,1203,,346,181,,577,508,,786,782,,1009,1166,,1722,3204,,830,817,,5
102011032,Gosford - Springfield,25,23,36,977,880,,449,168,,663,445,,840,747,,1105,988,,1829,1884,,838,760,,5
102011033,Kariong,17,32,39,808,901,,207,194,,520,377,,781,690,,1058,1214,,1314,1899,,803,700,,5
102011034,Kincumber - Picketts Valley,64,98,105,662,836,,310,323,,576,641,,687,816,,767,1025,,942,1349,,685,827,,5
102011035,Narara,23,33,33,793,932,,237,229,,568,610,,744,895,,962,1140,,1331,1681,,777,923,,5
102011036,Niagara Park - Lisarow,19,37,47,874,981,,,249,,,563,,,722,,,949,,,2274,,825,732,,5
102011037,Point Clare - Koolewong,18,30,32,847,793,,,71,,,380,,,826,,,1085,,,1605,,882,842,,5
102011038,Saratoga - Davistown,91,67,67,670,903,,341,251,,567,587,,667,863,,803,1097,,959,1660,,665,886,,5
102011039,Terrigal - North Avoca,84,119,119,575,818,,247,269,,442,622,,542,807,,666,989,,960,1382,,554,815,,5
102011040,Umina - Booker Bay - Patonga,63,126,126,868,965,,217,300,,468,687,,666,896,,908,1094,,2014,1815,,690,899,,5
102011041,Wamberal - Forresters Beach,21,31,,1120,919,,345,355,,500,622,,835,792,,1263,1061,,2350,1645,,829,808,,5
102011042,Woy Woy - Blackwall,78,89,89,1072,1173,,464,426,,748,830,,891,1080,,1035,1403,,2171,2085,,888,1058,,5
102011043,Wyoming,62,86,97,304,851,,44,221,,69,552,,100,799,,353,1101,,921,1541,,95,786,,5
102021044,Bateau Bay - Killarney Vale,56,68,80,839,818,,271,237,,492,526,,650,741,,901,896,,1797,1644,,655,739,,5
102021045,Blue Haven - San Remo,28,44,65,559,482,,45,78,,227,301,,390,413,,694,619,,1324,955,,405,404,,5
102021046,Budgewoi - Buff Point - Halekulani,35,49,49,671,662,,192,161,,484,335,,623,474,,827,805,,1231,1487,,617,458,,5
102021047,Chittaway Bay - Tumbi Umbi,47,63,72,616,708,,122,188,,273,388,,433,582,,612,864,,1555,1470,,428,580,,5
102021048,Gorokan - Kanwal - Charmhaven,63,113,139,678,697,,213,242,,465,429,,587,575,,747,755,,1333,1459,,578,573,,5
102021049,Jilliby - Yarramalong,19,22,24,612,553,,49,84,,179,255,,360,374,,589,602,,1741,1304,,428,403,,5
102021050,Lake Munmorah - Mannering Park,113,204,204,453,943,,131,292,,251,674,,389,940,,576,1219,,900,1576,,388,955,,5
102021051,Ourimbah - Fountaindale,22,28,31,1106,963,,95,242,,300,574,,528,824,,834,1066,,3353,1966,,566,841,,5
102021052,Summerland Point - Gwandalan,21,28,,908,590,,154,138,,494,373,,857,484,,1090,577,,1736,1286,,929,498,,5
102021053,The Entrance,25,38,38,515,886,,260,243,,396,488,,477,644,,596,1106,,847,1837,,471,623,,5
102021054,Toukley - Norah Head,155,114,123,584,674,,260,316,,447,525,,528,650,,627,782,,1057,1079,,526,657,,5
102021055,Tuggerah - Kangy Angy,17,27,49,721,562,,,55,,,276,,,505,,,675,,,1186,,582,570,,5
102021056,Warnervale - Wadalba,40,94,178,736,826,,198,126,,485,418,,745,639,,908,1017,,1342,1895,,736,649,,5
102021057,Wyong,20,37,59,765,681,,220,134,,430,315,,661,567,,872,872,,1644,1429,,662,596,,5
115011290,Baulkham Hills (East),,38,129,,338,727,,26,105,,135,358,,263,556,,396,920,,821,1672,,262,536,6
115011291,Baulkham Hills (West) - Bella Vista,,51,142,,499,913,,49,152,,201,464,,354,732,,529,1111,,1283,2070,,364,739,6
