sa4_name,sa2_code_2011,sa2_name,pop_2022,pop_2023,km2,persons/km2
Ballarat,201011001,Alfredton,18002,18997,52.7,360.4
Ballarat,201011002,Ballarat,11938,11809,12.4,954
Ballarat,201011005,Buninyong,7247,7323,51.6,142
Ballarat,201011006,Delacombe,11798,12869,34.2,376.7
Ballarat,201011007,Smythes Creek,4223,4268,104.7,40.8
Ballarat,201011008,Wendouree - Miners Rest,15388,15431,67.6,228.4
Ballarat,201011481,Ballarat East - Warrenheip,9641,9628,19.2,501
Ballarat,201011482,Ballarat North - Invermay,14892,15015,73.1,205.3
Ballarat,201011483,Canadian - Mount Clear,12395,12433,22.3,558.2
Ballarat,201011484,Sebastopol - Redan,12960,12885,10.6,1217.7
Ballarat,201021009,Bacchus Marsh Surrounds,6541,6639,1038.8,6.4
Ballarat,201021010,Creswick - Clunes,7969,7987,856.8,9.3
Ballarat,201021011,Daylesford,10003,10085,920.8,11
Ballarat,201021012,Gordon (Vic.),6379,6408,850.3,7.5
Ballarat,201031013,Avoca,3542,3594,1714.2,2.1
Ballarat,201031014,Beaufort,4612,4709,1863,2.5
Ballarat,201031015,Golden Plains - North,4894,4940,922.1,5.4
Ballarat,201031016,Maryborough (Vic.),8172,8154,45.5,179.1
Ballarat,201031017,Maryborough Surrounds,5565,5644,1627.6,3.5
Bendigo,202011018,Bendigo,14748,14625,16.1,909.5
Bendigo,202011019,California Gully - Eaglehawk,13102,13310,32.9,404.2
Bendigo,202011020,East Bendigo - Kennington,13890,13974,17.1,814.9
Bendigo,202011021,Flora Hill - Spring Gully,9383,9460,13.2,716.5
Bendigo,202011022,Kangaroo Flat - Golden Square,21201,21258,40.9,519.6
Bendigo,202011023,Maiden Gully,5614,5749,43,133.8
Bendigo,202011024,Strathfieldsaye,11027,11271,56.4,199.8
Bendigo,202011025,White Hills - Ascot,14906,15236,67.8,224.8
Bendigo,202021026,Bendigo Surrounds - South,8574,8808,796.9,11.1
Bendigo,202021027,Castlemaine,11347,11495,83.9,137
Bendigo,202021028,Castlemaine Surrounds,9298,9397,1515,6.2
Bendigo,202021029,Heathcote,5157,5261,756.8,7
Bendigo,202021030,Kyneton,10562,10571,556.5,19
Bendigo,202021031,Woodend,7992,8044,211.9,38
Bendigo,202031032,Bendigo Surrounds - North,5022,5154,1440.2,3.6
Bendigo,202031033,Loddon,7274,7256,6193.3,1.2
Geelong,203011034,Bannockburn,7958,8143,192.1,42.4
Geelong,203011035,Golden Plains - South,8246,8467,1484.5,5.7
Geelong,203011036,Winchelsea,6675,6781,903.3,7.5
Geelong,203021037,Belmont,14949,14993,9.4,1600.5
Geelong,203021039,Geelong,13543,13649,12.8,1064.9
Geelong,203021040,Geelong West - Hamlyn Heights,21377,21846,32,681.9
Geelong,203021042,Highton,24593,25142,40.6,619.5
Geelong,203021043,Lara,21365,22090,588.6,37.5
