sa2_code_2011,sa2_name,Meter count - 2010 (no.),Meter count - 2011 (no.),Meter count - 2012 (no.),Mean - 2010 (kWh),Mean - 2011 (kWh),Mean - 2012 (kWh),Lowest quintile - 2010 (kWh),Lowest quintile - 2011 (kWh),Lowest quintile - 2012 (kWh),Second quintile - 2010 (kWh),Second quintile - 2011 (kWh),Second quintile - 2012 (kWh),Third quintile - 2010 (kWh),Third quintile - 2011 (kWh),Third quintile - 2012 (kWh),Fourth quintile - 2010 (kWh),Fourth quintile - 2011 (kWh),Fourth quintile - 2012 (kWh),Highest quintile - 2010 (kWh),Highest quintile - 2011 (kWh),Highest quintile - 2012 (kWh),Median - 2010 (kWh),Median - 2011 (kWh),Median - 2012 (kWh),Predominant climate zone (d)
102011028,Avoca Beach - Copacabana,17,20,27,7390,6918,7877,2557,1139,500,4687,4859,1456,5862,7205,3949,9100,9632,7617,13290,11755,23520,5938,7265,3710,5
102011029,Box Head - MacMasters Beach,43,40,40,9180,8374,9718,2795,3387,1207,5531,5753,2354,7688,6999,5200,10812,10027,11465,18199,15707,28366,7674,6786,4947,5
102011030,Calga - Kulnura,17,22,25,13409,11672,9209,3129,2863,918,5314,6071,2192,7888,7770,3613,12236,8943,7569,33589,29285,31751,8717,7990,3635,5
102011031,Erina - Green Point,31,47,61,8666,8435,6581,3097,2779,830,5541,5693,2354,8420,7020,4040,10437,9578,7985,14811,16380,16842,8273,7117,3896,5
102011032,Gosford - Springfield,25,23,36,6119,7157,6381,2091,2514,1184,3264,4522,2319,4892,7195,3648,7237,9392,8558,13109,11240,14968,4779,7994,3752,5
102011033,Kariong,17,32,39,5264,6657,6056,1932,2947,947,3025,4376,2360,4263,6394,3635,5803,7702,6774,10038,11161,15922,4468,6677,3711,5
102011034,Kincumber - Picketts Valley,64,98,105,4943,3767,4560,1614,580,372,2913,1968,958,4071,2913,2084,5870,4238,4450,9990,8935,14934,4014,2905,2261,5
102011035,Narara,23,33,33,6154,6859,5128,2304,2402,718,3946,3753,1982,5269,6083,3975,7335,7936,5945,10968,13374,12224,5419,6716,4023,5
102011036,Niagara Park - Lisarow,19,37,47,9704,7173,6752,3736,2190,1160,7113,4266,3009,9107,6650,5615,11214,8406,8757,15859,13523,14486,9415,6790,5446,5
102011037,Point Clare - Koolewong,18,30,32,6769,7820,4852,2219,3121,726,3723,4672,1553,5255,6241,4172,8051,9578,6430,13083,15486,10542,5800,5918,4660,5
102011038,Saratoga - Davistown,91,67,67,5227,5675,7868,2354,2187,1468,3578,3939,4977,4599,4859,8130,6050,6391,9911,9326,10679,14334,4682,4846,8521,5
102011039,Terrigal - North Avoca,84,119,119,3665,4013,2938,1125,989,434,1696,1655,771,2563,2880,1290,4230,4752,2816,8561,9663,9276,2548,2786,1319,5
102011040,Umina - Booker Bay - Patonga,63,126,126,6446,7255,5407,1898,2877,874,4109,5010,2156,5474,6700,3828,7292,8483,5886,13034,12976,13950,5411,6732,4047,5
102011041,Wamberal - Forresters Beach,21,31,,8451,5946,,2533,1344,,4293,3782,,5921,4981,,9896,7028,,17381,11643,,6783,5236,,5
102011042,Woy Woy - Blackwall,78,89,89,4239,5536,3988,1296,1561,885,2198,3467,1628,3100,5071,2606,4446,7002,4499,9898,10358,10151,3028,5132,2737,5
102011043,Wyoming,62,86,97,4518,5284,4428,1122,1094,409,2172,2348,895,3596,3870,1677,5505,6641,4994,9828,12067,13814,3725,3708,1593,5
102021044,Bateau Bay - Killarney Vale,56,68,80,6268,5974,7146,2476,1905,1082,3918,4049,2598,5437,5267,4679,7068,7147,7976,11926,11161,19396,5709,5165,4530,5
