PC,Suburbs,2008,2009,% Difference,Region
3000,Melbourne Cbd,308,282,-8%,Inner Melbourne
3002,East Melbourne,327,305,-7%,Inner Melbourne
3002,Jolimont,327,305,-7%,Inner Melbourne
3004,Melbourne,290,278,-4%,Inner Melbourne
3006,Southbank,271,262,-3%,Inner Melbourne
3011,Coode Island,412,393,-5%,Western Melbourne 
3011,Footscray,412,393,-5%,Western Melbourne 
3011,Footscray West,412,393,-5%,Western Melbourne 
3011,Seddon,412,393,-5%,Western Melbourne
3012,Kingsville South (Hobsons Bay),395,377,-5%,Western Melbourne
3012,Kingsville,395,377,-5%,Western Melbourne
3012,Maidstone,395,377,-5%,Western Melbourne
3012,Tottenham,395,377,-5%,Western Melbourne
3013,Yarraville,385,366,-5%,Western Melbourne
3015,Newport,403,373,-7%,Western Melbourne
3015,Newport Lakes,403,373,-7%,Western Melbourne
3015,Spotswood,403,373,-7%,Western Melbourne
3015,Kingsville South (Maribyrnong),403,373,-7%,Western Melbourne
3016,Williamstown,432,402,-7%,Western Melbourne
3016,Williamstown North,432,402,-7%,Western Melbourne
3018,Altona,404,373,-8%,Western Melbourne
3018,Seaholme,404,373,-8%,Western Melbourne
3019,Braybrook,468,433,-7%,Western Melbourne
3020,Albion,456,432,-5%,Western Melbourne 
3020,Sunshine,456,432,-5%,Western Melbourne 
3020,Sunshine North,456,432,-5%,Western Melbourne 
3020,Sunshine West",456,432,-5%,Western Melbourne
3021,Albanvale,494,458,-7%,Western Melbourne
3021,Kealba,494,458,-7%,Western Melbourne
3021,Kings Park,494,458,-7%,Western Melbourne
3021,St Albans,494,458,-7%,Western Melbourne
3022,Ardeer,438,403,-8%,Western Melbourne
3023,Cairnlea,469,455,-3%,Western Melbourne
3023,Deer Park,469,455,-3%,Western Melbourne
3023,Burnside,469,455,-3%,Western Melbourne
3023,Caroline Springs,469,455,-3%,Western Melbourne
3023,Ravenhall,469,455,-3%,Western Melbourne
3024,Mount Cottrell,456,432,-5%,Western Melbourne
3024,Wyndham Vale,456,432,-5%,Western Melbourne
3025,Altona North,471,433,-8%,Western Melbourne
3025,Brooklyn,471,433,-8%,Western Melbourne
3028,Altona Meadows,467,441,-6%,Western Melbourne
3028,Laverton,467,441,-6%,Western Melbourne
3028,Western Gardens,467,441,-6%,Western Melbourne
3028,Laverton South,467,441,-6%,Western Melbourne
3028,Seabrook,467,441,-6%,Western Melbourne
3029,Hoppers Crossing,495,473,-4%,Western Melbourne
3029,Tarneit,495,473,-4%,Western Melbourne
3029,Truganina,495,473,-4%,Western Melbourne
3030,Derrimut,474,450,-5%,Western Melbourne
3030,Point Cook,474,450,-5%,Western Melbourne
3030,Sanctuary Lakes,474,450,-5%,Western Melbourne
3030,Werribee,474,450,-5%,Western Melbourne
3030,Werribee South,474,450,-5%,Western Melbourne
3031,Kensington - Kingsford,362,345,-5%,Inner Melbourne
3031,Flemington,362,345,-5%,Inner Melbourne
3031,Newmarket,362,345,-5%,Inner Melbourne
3032,Ascot Vale,442,416,-6%,Inner Melbourne
3032,Travancore,442,416,-6%,Inner Melbourne
3032,Maribyrnong,442,416,-6%,Inner Melbourne
3033,Keilor East,480,443,-8%,Northern Melbourne
3034,Avondale Heights,503,463,-8%,Northern Melbourne
3036,Keilor,590,539,-9%,Northern Melbourne
3037,Delahey,535,509,-5%,Northern Melbourne
3037,Keilor North,535,509,-5%,Northern Melbourne
3037,Sydenham,535,509,-5%,Northern Melbourne
3037,Hillside,535,509,-5%,Northern Melbourne
3037,Taylors Hill,535,509,-5%,Northern Melbourne
3038,Keilor Downs,593,552,-7%,Northern Melbourne
